-0x1fe9 SEC_ERROR_DUPLICATE_CERT_NAME
-0x1fe8 SEC_ERROR_ADDING_CERT
-0x1fe7 SEC_ERROR_FILING_KEY
-0x1fe6 SEC_ERROR_NO_KEY
-0x1fe5 SEC_ERROR_CERT_VALID
-0x1fe4 SEC_ERROR_CERT_NOT_VALID
-0x1fe3 SEC_ERROR_CERT_NO_RESPONSE
-0x1fe2 SEC_ERROR_EXPIRED_ISSUER_CERTIFICATE
-0x1fe1 SEC_ERROR_CRL_EXPIRED
-0x1fe0 SEC_ERROR_CRL_BAD_SIGNATURE
-0x1fdf SEC_ERROR_CRL_INVALID
-0x1fde SEC_ERROR_EXTENSION_VALUE_INVALID
-0x1fdd SEC_ERROR_EXTENSION_NOT_FOUND
-0x1fdc SEC_ERROR_CA_CERT_INVALID
-0x1fdb SEC_ERROR_PATH_LEN_CONSTRAINT_INVALID
-0x1fda SEC_ERROR_CERT_USAGES_INVALID
-0x1fd9 SEC_INTERNAL_ONLY
-0x1fd8 SEC_ERROR_INVALID_KEY
-0x1fd7 SEC_ERROR_UNKNOWN_CRITICAL_EXTENSION
-0x1fd6 SEC_ERROR_OLD_CRL
-0x1fd5 SEC_ERROR_NO_EMAIL_CERT
-0x1fd4 SEC_ERROR_NO_RECIPIENT_CERTS_QUERY
-0x1fd3 SEC_ERROR_NOT_A_RECIPIENT
-0x1fd2 SEC_ERROR_PKCS7_KEYALG_MISMATCH
-0x1fd1 SEC_ERROR_PKCS7_BAD_SIGNATURE
-0x1fd0 SEC_ERROR_UNSUPPORTED_KEYALG
-0x1fcf SEC_ERROR_DECRYPTION_DISALLOWED
-0x1fce XP_SEC_FORTEZZA_BAD_CARD
-0x1fcd XP_SEC_FORTEZZA_NO_CARD
-0x1fcc XP_SEC_FORTEZZA_NONE_SELECTED
-0x1fcb XP_SEC_FORTEZZA_MORE_INFO
-0x1fca XP_SEC_FORTEZZA_PERSON_NOT_FOUND
-0x1fc9 XP_SEC_FORTEZZA_NO_MORE_INFO
-0x1fc8 XP_SEC_FORTEZZA_BAD_PIN
-0x1fc7 XP_SEC_FORTEZZA_PERSON_ERROR
-0x1fc6 SEC_ERROR_NO_KRL
-0x1fc5 SEC_ERROR_KRL_EXPIRED
-0x1fc4 SEC_ERROR_KRL_BAD_SIGNATURE
-0x1fc3 SEC_ERROR_REVOKED_KEY
-0x1fc2 SEC_ERROR_KRL_INVALID
-0x1fc1 SEC_ERROR_NEED_RANDOM
-0x1fc0 SEC_ERROR_NO_MODULE
-0x1fbf SEC_ERROR_NO_TOKEN
-0x1fbe SEC_ERROR_READ_ONLY
-0x1fbd SEC_ERROR_NO_SLOT_SELECTED
-0x1fbc SEC_ERROR_CERT_NICKNAME_COLLISION
-0x1fbb SEC_ERROR_KEY_NICKNAME_COLLISION
-0x1fba SEC_ERROR_SAFE_NOT_CREATED
-0x1fb9 SEC_ERROR_BAGGAGE_NOT_CREATED
-0x1fb8 XP_JAVA_REMOVE_PRINCIPAL_ERROR
-0x1fb7 XP_JAVA_DELETE_PRIVILEGE_ERROR
-0x1fb6 XP_JAVA_CERT_NOT_EXISTS_ERROR
-0x1fb5 SEC_ERROR_BAD_EXPORT_ALGORITHM
-0x1fb4 SEC_ERROR_EXPORTING_CERTIFICATES
-0x1fb3 SEC_ERROR_IMPORTING_CERTIFICATES
